"word" "word.freq" "doc.freq"
"321" "schwäche" 36 35
"322" "anstecken" 14 13
"323" "liebe" 596 397
"324" "bekommen" 241 203
"325" "schlag" 98 88
"326" "sterben" 348 243
"327" "schlagen" 403 338
"328" "eltern" 79 65
"329" "verheiratheten" 1 1
"330" "belieben" 37 34
"331" "wir's" 18 17
"332" "weinen" 266 190
"333" "muthigeren" 1 1
"334" "klagen" 64 62
"335" "tyrannei" 5 4
"336" "reden" 311 262
"337" "kloster" 47 40
"338" "ende" 393 330
"339" "nachgeben" 26 24
"340" "vater" 1106 514
"341" "menschenkenntniß" 1 1
"342" "fest" 342 292
"343" "verzweiflung" 87 79
"344" "bauer" 172 110
"345" "brav" 74 65
"346" "schreiber" 18 14
"347" "advocaten" 95 66
"348" "riquet" 1 1
"349" "semmelgesicht" 1 1
"350" "angethan" 20 20
"351" "gesegnet" 6 6
"352" "trefflich" 23 23
"353" "trotz" 185 170
"354" "thränen" 304 243
"355" "arm" 1213 782
"356" "glücklich" 376 301
"357" "lebenszeit" 7 7
"358" "galeere" 8 6
"359" "toulon" 2 2
"360" "lieb" 850 587
"361" "lieben" 730 388
"362" "geheimnis" 40 38
"363" "bemühen" 86 82
"364" "rühmen" 23 21
"365" "gedanke" 534 415
"366" "wallung" 10 9
"367" "herz" 910 637
"368" "wahl" 49 47
"369" "treffen" 238 221
"370" "triefen" 57 57
"371" "ordentlich" 25 25
"372" "mensch" 651 489
"373" "partieen" 8 8
"374" "nahe" 114 107
"375" "anständig" 32 31
"376" "sinn" 144 130
"377" "ausschlagen" 17 17
"378" "zwingen" 98 94
"379" "neigung" 50 48
"380" "gewalt" 83 79
"381" "anzuthun" 4 4
"382" "monat" 179 161
"383" "heirathscandidaten" 1 1
"384" "gegend" 102 89
"385" "revue" 3 3
"386" "passirt" 21 20
"387" "reisen" 74 60
"388" "zeitung" 34 30
"389" "rhein" 3 3
"390" "baden" 16 14
"391" "wiesbaden" 1 1
"392" "europäisch" 10 10
"393" "sammelplatz" 3 3
"394" "heirathslustige" 1 1
"395" "zerstreuung" 19 19
"396" "frühjahr" 12 11
"397" "nachdenklich" 55 54
"398" "thätig" 3 3
"399" "einförmig" 16 16
"400" "inspector" 2 2
"401" "wacker" 30 29
"402" "geschult" 1 1
"403" "eisenbahn" 4 3
"404" "aufenthalt" 40 39
