"word" "word.freq" "doc.freq"
"379" "fanatismus" 1 1
"380" "vorväter" 2 2
"381" "küsten" 13 12
"382" "aussä'te" 1 1
"383" "gezwungen" 44 42
"384" "lettischen" 1 1
"385" "finnischen" 1 1
"386" "bevölkerung" 15 15
"387" "zusammenzuhalten" 6 6
"388" "werke" 57 52
"389" "gingen" 298 271
"390" "verdanken" 18 18
"391" "existenz" 13 13
"392" "wohlstand" 25 24
"393" "berufen" 22 22
"394" "genaue" 13 13
"395" "wirthschaften" 10 10
"396" "kräften" 41 41
"397" "schützen" 65 51
"398" "einzuwirken" 2 2
"399" "germanische" 2 2
"400" "einfluß" 55 54
"401" "erstreckt" 4 4
"402" "baltischen" 1 1
"403" "unermeßliche" 9 9
"404" "landstriche" 2 2
"405" "asien" 8 6
"406" "reiche" 108 101
"407" "blühen" 21 17
"408" "unmittelbar" 48 47
"409" "lande" 193 176
"410" "alten" 1170 866
"411" "preußen" 28 25
"412" "kuren" 1 1
"413" "deutscher" 31 31
"414" "sitzt" 79 73
"415" "köpfe" 74 70
"416" "neuordnend" 1 1
"417" "schaffend" 3 3
"418" "regierend" 3 3
"419" "weiten" 99 93
"420" "abfliegen" 1 1
"421" "bewegung" 284 264
"422" "hand" 1869 1273
"423" "worte" 652 546
"424" "begleitend" 2 2
"425" "ersetzt" 5 5
"426" "glaubte" 373 332
"427" "herrschaft" 59 53
"428" "ende" 564 498
"429" "tauchte" 25 25
"430" "nothwendiges" 2 2
"431" "unvermeidliches" 4 4
"432" "feld" 116 102
"433" "wild" 131 118
"434" "gährende" 1 1
"435" "kraft" 233 210
"436" "formen" 42 39
"437" "vaterlande" 27 26
"438" "kalt" 151 141
"439" "steif" 30 28
"440" "unbequem" 10 10
"441" "wirken" 36 34
"442" "schaffen" 98 91
"443" "schwert" 58 41
"444" "ingenium" 3 3
"445" "sitte" 70 66
"446" "sprache" 149 137
"447" "unermeßliches" 3 3
"448" "erobern" 19 18
"449" "fliegen" 47 45
"450" "gelehrten" 24 24
"451" "gedanken" 586 511
"452" "soldat" 85 66
"453" "professor" 88 42
"454" "philosophie" 21 19
"455" "discurse" 3 3
"456" "welt" 1034 777
"457" "geschehen" 369 329
"458" "muß" 1289 909
"459" "luft" 304 272
"460" "angesteckt" 12 12
"461" "italiener" 17 12
"462" "röche" 2 2
"463" "philosophisch" 2 2
"464" "all" 191 180
"465" "sprünge" 14 12
"466" "blaue" 65 62
"467" "gewesener" 2 2
"468" "flotter" 1 1
"469" "miethsmann" 8 8
"470" "lustigen" 52 50
"471" "vortrefflicher" 10 10
"472" "wirthschafter" 2 2
"473" "russen" 13 11
"474" "finnländer" 1 1
"475" "ausgeben" 2 2
"476" "sammeln" 27 27
"477" "person" 169 152
"478" "profit" 5 5
"479" "zufällt" 1 1
"480" "vollkommen" 81 80
"481" "überlasse" 10 10
"482" "lust" 205 191
"483" "einflüsse" 5 5
"484" "redet" 51 43
"485" "kuriosen" 2 2
"486" "unsaubern" 2 2
"487" "nationen" 11 10
"488" "gerathen" 93 92
"489" "sintemal" 3 3
"490" "primo" 1 1
"491" "privilegium" 10 10
"492" "königs" 78 61
"493" "eingreift" 4 4
"494" "secundo" 1 1
"495" "clienten" 3 3
"496" "schütteln" 16 16
"497" "fleißige" 7 7
"498" "vergäße" 2 2
"499" "zusammenhalten" 10 10
"500" "stünde" 16 16
"501" "angelegenheiten" 35 33
"502" "deutsches" 11 11
"503" "bester" 36 36
"504" "philosoph" 16 16
"505" "einfachsten" 5 5
"506" "füllt" 8 8
"507" "schlüsse" 3 3
"508" "gedacht" 191 185
"509" "steht's" 15 13
"510" "kurländers" 1 1
"511" "fäßchen" 6 4
"512" "ungerwein" 2 2
"513" "versehn" 2 2
"514" "gelüstet's" 1 1
"515" "faß" 27 23
"516" "rollen" 33 32
"517" "franzwein" 4 3
"518" "semester" 1 1
"519" "dummen" 28 27
"520" "streiches" 2 2
"521" "nebel" 85 64
"522" "name" 108 98
"523" "schwarzen" 248 217
"524" "brette" 5 5
"525" "schlug" 440 399
"526" "vorerst" 21 21
"527" "versuchen" 83 79
"528" "gläschen" 9 8
"529" "unger" 1 1
"530" "lüstern" 6 6
"531" "platz" 296 266
"532" "bedingung" 34 30
"533" "tage" 858 709
"534" "probire" 2 2
"535" "spüre" 3 3
"536" "vertauschen" 13 13
"537" "mäßig" 10 10
"538" "flurstübchen" 1 1
"539" "ehrenwerthen" 5 5
"540" "bürger" 44 41
"541" "schenke" 46 39
"542" "thore" 82 68
"543" "abschiedsgelage" 1 1
"544" "mächtige" 39 38
"545" "humpen" 6 5
"546" "feurigen" 30 30
"547" "getränke" 11 11
"548" "kreis'ten" 1 1
"549" "fasse" 22 19
"550" "ecktisch" 1 1
"551" "gezapft" 1 1
"552" "kugelgläser" 1 1
"553" "flogen" 61 60
"554" "kreislauf" 4 4
"555" "mühe" 216 201
"556" "flügel" 53 51
"557" "öffnen" 70 66
"558" "gesang" 45 37
"559" "rauschende" 5 5
"560" "gesundheiten" 4 4
"561" "lärmender" 4 4
"562" "musik" 143 110
"563" "begleitet" 65 62
"564" "wechselten" 19 19
"565" "brüderküsse" 2 2
"566" "schwüre" 13 11
"567" "ewiger" 12 12
"568" "freundschaft" 99 87
"569" "tische" 193 174
"570" "geschleudert" 14 14
"571" "bänke" 6 6
"572" "sprang" 293 258
"573" "fühlte" 534 452
"574" "drang" 98 97
"575" "empfand" 109 103
"576" "feierliche" 16 16
"577" "gaudeamus" 1 1
"578" "verhallt" 9 9
"579" "hüte" 21 18
"580" "durchstochen" 1 1
