"word" "word.freq" "doc.freq"
"354" "kraft" 696 612
"355" "schützen" 199 175
"356" "einwirken" 17 17
"357" "germanisch" 13 10
"358" "einfluss" 128 119
"359" "erstrecken" 28 27
"360" "baltisch" 3 3
"361" "unermesslich" 55 51
"362" "landstrich" 6 6
"363" "asien" 8 6
"364" "reiche" 52 49
"365" "blühen" 77 71
"366" "unmittelbar" 112 106
"367" "preuße" 18 15
"368" "kur" 7 7
"369" "neuordnend" 1 1
"370" "schaffend" 13 13
"371" "regierend" 22 21
"372" "abfliegen" 3 3
"373" "bewegung" 584 549
"374" "hand" 5718 3369
"375" "begleitend" 6 6
"376" "ersetzen" 66 65
"377" "herrschaft" 171 151
"378" "ende" 1102 988
"379" "tauchen" 130 125
"380" "nothwendiges" 2 2
"381" "unvermeidlich" 22 21
"382" "feld" 429 362
"383" "wild" 873 694
"384" "gährende" 2 2
"385" "form" 205 187
"386" "vaterland" 156 121
"387" "kalt" 626 557
"388" "steif" 120 116
"389" "unbequem" 33 33
"390" "wirken" 189 180
"391" "schaffen" 365 345
"392" "schwert" 123 95
"393" "ingenium" 3 3
"394" "sitte" 180 168
"395" "sprache" 274 253
"396" "erobern" 49 47
"397" "fliegen" 504 456
"398" "gelehrt" 58 50
"399" "gedanke" 1535 1262
"400" "soldat" 280 204
"401" "professor" 150 74
"402" "philosophie" 33 27
"403" "discurse" 4 4
"404" "welt" 1955 1471
"405" "geschehen" 1050 900
"406" "luft" 625 552
"407" "anstecken" 28 28
"408" "italiener" 30 22
"409" "riechen" 56 47
"410" "philosophisch" 28 24
"411" "sprung" 93 81
"412" "blaue" 15 14
"413" "miethsmann" 8 8
"414" "lustig" 537 438
"415" "wirthschafter" 2 2
"416" "pol" 23 22
"417" "pole" 22 21
"418" "russe" 29 24
"419" "finnländer" 1 1
"420" "ausgeben" 37 37
"421" "person" 428 384
"422" "profit" 7 7
"423" "zufallen" 37 36
"424" "vollkommen" 193 180
"425" "überlassen" 206 201
"426" "lust" 344 317
"427" "reden" 1358 1073
"428" "kurios" 14 13
"429" "unsaubern" 4 4
"430" "nation" 42 39
"431" "gerathen" 175 169
"432" "sintemal" 6 6
"433" "primo" 2 2
"434" "privilegium" 18 18
"435" "eingreifen" 24 24
"436" "secundo" 5 5
"437" "clienten" 11 10
"438" "fleißig" 138 131
"439" "angelegenheit" 159 148
"440" "philosoph" 39 35
"441" "füllen" 215 203
"442" "schluss" 123 117
"443" "gedenken" 632 577
"444" "kurländers" 1 1
"445" "fäßchen" 10 8
"446" "ungerwein" 2 2
"447" "versehn" 2 2
"448" "gelüstet's" 1 1
"449" "fass" 108 71
