"NDNS_Anzengruber" "NDNS_Artaria" "NDNS_Bernstein" "NDNS_Boehlau" "NDNS_Boehm" "NDNS_Boy-Ed" "NDNS_Buelow_Herr" "NDNS_Buelow_Verzaubert" "NDNS_Burow" "NDNS_Dingelstedt" "NDNS_Dueringsfeld" "NDNS_Ebner-Eschenbach_Freiherren" "NDNS_Ebner-Eschenbach_Krambambuli" "NDNS_Floerke" "NDNS_Fontane" "NDNS_Franzos" "NDNS_Frapan" "NDNS_Frenzel" "NDNS_Friedmann" "NDNS_Ganghofer" "NDNS_Gaudy" "NDNS_Godin" "NDNS_Gutzkow" "NDNS_Heiberg" "NDNS_Hermann-Pantenius" "NDNS_Heyse" "NDNS_Hirsch" "NDNS_Hoffmann" "NDNS_Hopfen" "NDNS_Jensen" "NDNS_Kirchbach" "NDNS_Kirschner" "NDNS_Kleist" "NDNS_Kulke" "NDNS_Laistner" "NDNS_Lentner" "NDNS_Lindau_Welt" "NDNS_Lindau_Wette" "NDNS_Ludwig" "NDNS_Marbach" "NDNS_Meyer" "NDNS_Mosen" "NDNS_Mosenthal" "NDNS_Mueller" "NDNS_Postl" "NDNS_Putlitz" "NDNS_Puttkammer" "NDNS_Reuter" "NDNS_Rosegger" "NDNS_Rosenthal-Bonin" "NDNS_Saar" "NDNS_Scherr" "NDNS_Schiller" "NDNS_Schoene" "NDNS_Schweichel" "NDNS_Silberstein" "NDNS_Smidt_Feuerschiff" "NDNS_Smidt_Passagiere" "NDNS_Spielhagen" "NDNS_Starklof" "NDNS_Stern" "NDNS_Storm" "NDNS_Trautmann" "NDNS_Vacano" "NDNS_Voss" "NDNS_Weber" "NDNS_Weitbrecht" "NDNS_Widmann" "NDNS_Wildenbruch" "NDNS_Zitelmann"
"sich" 0.881770739607702 0.787902515415484 1.04785423479944 1.4247639103682 1.27231567183426 0.904028824107435 1.14205394008609 0.520516460488069 1.00582318687136 0.971111473804472 0.824900484389238 1.38973217297443 0.855365474339036 0.929746063106514 1.0520554609584 0.96170069174962 1.01501994836893 0.99559046437922 1.2990557283991 0.858765567264267 0.637805095314449 1.32865379794435 1.31480090157776 0.9093664746893 1.1497714144926 1.07254679901406 0.836385836385836 1.18480905532635 1.19326419092227 1.21872619675397 0.559671444677082 1.4771296684851 1.60516605166052 0.933934299752304 1.25380619738492 0.864220071815471 1.41076261035447 1.0308479305534 0.863298551159823 1.37897859376253 1.21821658757702 0.914901616743953 1.00014390559793 0.569408262002233 0.55095580177767 0.795448559237212 0.717139637332241 0 0.83912298114229 1.27790083489521 0.834590246354952 0.937628275757772 0.671759747102213 0.654415060510982 1.09379918161788 1.07117008443908 1.31662436548223 1.19136262099777 1.09561333277148 1.00428442278212 0.897152515927708 0.409581730172521 0.661780104712042 1.14601805044597 1.40899440262498 0.960121466529719 0.101186643363076 1.25430487583832 1.46831051359891 1.48741109338237
"nicht" 0.863775418391218 1.37515904864442 0.487218848027765 0.983843901154947 0.859672751239362 0.943334425155585 1.29139945532812 1.14919218549314 0.935239103582142 1.04455687938632 1.78408709414417 1.02543344801997 0.959046137895282 1.04596432099483 1.08550231087327 1.29070355997975 0.598451067824454 1.09549400578752 1.16260029474374 0.181332968386479 0.880099768394798 1.08423163700175 1.0236664162284 0.836617156714156 1.10323304771551 1.04589967357271 1.45909645909646 0.97323600973236 1.5389762462362 0.873029823636257 0.90996939925914 0.688208140998741 0.682656826568266 1.59580947740285 1.21440085975282 0.918994583409409 0.767490350916108 1.31762517439157 1.90301028451317 0.88190491461557 0.814505276577661 0.563980448677779 1.0145344653907 0.707108299218459 1.33325216120784 1.14839593320339 0.939111429839839 0.0100030009002701 0.848145808896508 0.494121656159482 0.663650075414781 1.00028085639596 0.619072708113804 1.21021963245182 1.23544224110796 0.743063932448733 0.87246192893401 0.769421692727724 1.17146348657874 0.992492433473527 0.689117149915486 0.959827892929544 0.98848167539267 0.934282613873964 0.93611271955221 0.915464654132988 0.128783000643915 0.986043139387348 0.848770212502323 1.2115639451551
"mit" 0.809789454741767 0.920035235391994 1.02560679881644 0.911454048896055 0.942774450525833 0.92368162463151 0.939998242993938 1.03427296694382 0.802893947414858 1.20368859148033 1.21337106133998 1.24131417391891 1.14048729911871 0.891975129292812 0.687180734614449 0.674877678420786 1.17930063365407 1.01970511230536 0.736859341738988 1.19063911317914 1.32549438802779 0.795938831787415 0.957926371149512 1.06092755380418 0.845903254948123 0.985943641329692 0.921855921855922 0.856870834655665 0.858704137392662 0.884748344758891 0.918022225801256 0.919009651699538 1.16236162361624 0.840540869777074 0.906322765538241 1.04071572028483 0.851781198704583 0.798325840954891 0.544253434426845 1.13845907159464 1.21113393299809 1.29088858252914 1.05770614476903 1.23557871231857 0.800560087665895 1.15366380445662 0.857152614144726 1.01030309092728 0.803031670125417 1.38013290168683 1.24685771744595 0.805841813036058 0.513698630136986 0.869565217391304 1.02691218130312 0.892641737032569 1.06281725888325 1.04244229337305 0.855421179048502 1.01607641209072 1.00117019893382 0.839849406313351 0.766492146596859 0.971336315274065 0.733449141092453 1.02710668512482 0.625517431699016 0.873663222765996 0.997459884765504 0.727479243854288
"es" 0.944754363865395 1.26749535088578 0.67632205388329 1.51360600177684 1.08891881823652 0.838519489027186 1.43195994026179 0.980193334685324 0.697017822481031 0.701811653337686 1.28051412402283 0.904000539701815 0.829445308449974 0.764135045615666 1.59024568231574 1.03762443057196 0.7157944144567 0.861237425933581 1.02068664374215 0.653482961543725 0.452520933547123 0.933817999498621 0.723140495867769 0.794180054561988 1.11418325166306 0.959296515888349 0.970695970695971 0.97323600973236 0.853128136500502 1.54098552762641 0.990497664680303 0.650440621065883 0.33210332103321 1.10853940796687 1.03170338527673 0.705982593877427 0.700944944767313 0.852580995194543 0.998423541776143 0.577246853202918 0.651604221262129 0.639177841834816 0.510864872643546 0.413100111648679 0.928406185315963 0.895538113048517 0.826418058259058 0 1.01957953622665 0.596353722951099 0.965309200603318 0.976516084429753 0.619072708113804 0.995069475571493 1.0505193578848 0.926417370325694 1.61802030456853 0.719781583519484 1.09982723020522 0.854919224873236 0.4680795735275 0.939141946961235 0.628272251308901 0.860175211073763 0.965064659332175 0.701111954628679 0.0643915003219575 0.761283306144644 1.21429899014931 0.905968575060173
"ein" 1.13370523663847 0.929822844279143 0.756412823422101 0.927906288045803 0.802361234490071 0.877825090075336 0.966353333919002 0.980193334685324 0.92641609317099 0.856863065121593 0.700206225121097 0.971463266545234 0.907205806117159 0.755418676274043 0.799683775237169 1.02075248861144 0.962215442384417 0.857792476229847 1.24447355493696 0.656904338305734 1.06538393016212 0.977688643770368 0.948534936138242 0.994240678993634 0.818527745079252 0.97262007860902 0.628815628815629 1.08960118480906 0.847552135608342 0.873029823636257 1.03478821066194 1.15820394460764 0.811808118081181 1.03950948146343 0.813182876589647 0.967683038159576 0.878399361164101 0.689815532475585 0.874558967044516 0.641385392447687 1.23946455131383 1.06529640305803 1.07209670456181 0.748046148120581 1.07755996590771 0.674287520413001 1.02107024553495 0.220066019805942 1.28124154109898 0.78377917873573 0.854700854700855 0.846890055523149 0.842992623814542 0.833706857911251 0.749527856468366 1.04221954161641 0.904187817258883 0.769421692727724 0.901774050819603 1.01411108053929 0.819139253673124 0.868809730668983 0.959162303664922 0.876055368816664 0.93611271955221 0.772562854463448 0.156379357924754 0.960667029182527 1.18951737810545 0.708548557211239
"dem" 0.584847939535721 0.748752079866889 0.929942824089524 0.829192853147313 0.753646445253174 0.773010153946937 0.755512606518493 0.885553978232948 0.961708134815599 0.775257058919536 0.522756702316436 0.654388450381164 1.5552099533437 0.833866000348655 0.671977621016784 0.598953939598448 0.786200422436048 0.957696017638142 0.813274384585994 1.04009853565075 0.947799750579013 0.720732013035849 0.68557475582269 0.769930281903607 0.856853458895672 0.919325827726334 0.946275946275946 0.772241616418068 0.719304115088658 0.832014999707037 0.450958286358512 0.872849349559379 0.977859778597786 0.726844520242011 0.863335124485044 0.99202726553466 1.00705381305177 0.713067741435436 0.713159672697245 0.865870279804377 1.16863800552447 0.88983581902494 0.769894948913513 1.30256791961295 0.593571167661025 0.800716430490439 0.993750640303248 0.0300090027008102 0.947396914192908 1.00528199011757 0.794369029663147 0.85985265841381 0.882507903055848 0.833706857911251 1.0308467107334 0.926417370325694 1.39593908629442 1.04244229337305 0.998693691795542 0.725207342478676 0.910154726303472 1.14186421745066 0.586387434554974 0.772834343487812 0.868558193398958 0.835082391818872 0.285162358568669 0.964292187783216 0.681494331206245 0.713957324823539
"so" 1.14270289724672 0.748752079866889 0.545062181583572 0.700865387779277 0.49861019571883 0.530625614150016 0.702802424668365 0.872034070168323 0.494088583024528 0.550840541863881 0.800920819145365 0.627403359643797 0.492483151892172 0.613051310360858 0.805765020676234 0.99544457567066 0.66298990847219 0.706214689265537 0.736859341738988 1.00246339126865 0.933547122750757 0.783404361995488 0.760706235912847 0.45468323734465 0.832215500013688 0.739457730997269 1.07448107448107 0.814556225536867 1.04828816772611 0.51561492939591 0.668384602995652 0.453210239194293 0.47970479704797 0.966418971048037 0.755866021852051 0.639035968595947 0.341599751563817 0.550302278716478 1.12604158846933 0.77767978834282 0.368298038104682 1.22822408823161 0.661965750467693 0.84108671380722 1.02581273590649 0.73750197545172 0.590786463135608 1.00030009002701 0.830100153388072 0.681547111944113 0.73403720462544 0.982997385875084 0.434668071654373 1.11160914388167 0.832152974504249 0.921592279855247 0.50761421319797 0.322660709853562 0.948126922590704 0.862780551078967 0.416070732024444 0.901907244218278 0.971727748691099 0.741074028002011 0.579038795599305 0.558210154959139 0.873884647226566 0.815660685154976 0.470850628833406 0.727479243854288
"war" 0.917761382040669 0.797690124302633 0.489443591626065 0.901582705406206 1.02014499813738 0.491320013101867 1.21233418255293 0.689515311295883 1.13816834303864 0.518198139383059 0.767349287803942 0.512716724009984 0.518403317781234 0.906502411528851 1.09462417903187 0.641133794499747 0.921145271063131 0.709659638969271 0.58948747339119 0.629533324209662 0.694815606627472 0.795938831787415 0.995492111194591 0.515307668990603 0.728188562511977 0.646192791952568 0.622710622710623 0.856870834655665 0.953496152559384 0.035155563367903 0.664358189724593 0.709190096516995 0.701107011070111 0.63345109026678 0.702131470535554 0.407765808532652 1.03367197551129 0.744070686715238 1.02094437354553 1.09837248456666 0.481620511367661 0.664243639553829 0.604403511296589 0.450316337923335 0.71228540119323 0.769109202971079 0.911791824608134 0 0.929351258684472 0.511160333958085 0.673705379587733 0.792879210145397 1.27766069546891 1.22814881219184 1.06625747560592 0.820265379975875 0.713832487309645 0.0992802184164805 1.01133538409675 0.674108722141425 0.481081783903264 0.976376649704191 0.632460732984293 0.735780642087711 0.858907546805636 0.629661054793909 0.0367951430411186 0.804785209352909 0.929310451644879 0.770749384752684
"auf" 0.971747345690121 0.685132622100421 0.809806669781308 1.16810897963213 0.659082442616844 0.759908286930888 0.755512606518493 0.682755357263571 0.670548791247574 0.962950873184266 0.479593304877464 0.823045267489712 0.881285640228097 0.778662327851706 0.802724397956702 0.717057533322085 1.03848861769538 0.719994488080474 0.846023688663283 0.841658683454222 0.848031355781222 0.795938831787415 0.723140495867769 0.788117611397393 0.892441621725205 0.792751981879955 0.555555555555556 0.72992700729927 0.568752091000335 0.914044647565477 0.676437429537768 0.801510700797314 0.885608856088561 0.531936492467617 0.945728103170339 0.620777798064634 0.873963000754181 0.720818477755387 0.675624953081601 0.841818327587589 0.545364402578086 0.701842336132347 0.561231831918262 0.71455154447339 0.675757944721783 0.647948164146868 0.573711709865792 0 0.884237119913381 0.971204634520361 0.522875816993464 0.620044504936591 0.803477344573235 0.681308830121022 0.85576015108593 0.776839565741858 1.09454314720812 0.769421692727724 0.82170999957861 0.797924609881687 1.05317904043687 0.881221298249969 0.8 0.587565836487309 1.05192047867207 0.741303085785737 0.147180572164474 0.609026644915715 0.749643764326869 0.657165264894394
"von" 0.557854957710995 0.675345013213272 0.927718080491223 0.559376131091442 0.919849843826117 0.707500818866688 0.50074672757621 0.730075035489759 0.705840832892183 0.90990696915293 1.30928972231548 0.823045267489712 0.829445308449974 0.601429484572026 0.769277548041839 0.708621562341825 0.539779394508331 1.19539754719581 0.518530647890399 0.667168468591761 0.83734188491003 0.683128603660065 0.845229151014275 0.618369202788724 0.59131101316762 0.632869229231897 0.659340659340659 1.02612927113086 0.457232073157132 0.749985351848597 0.599935577387663 0.889634913973982 1.18081180811808 0.73902627197791 0.648396919219058 0.839875844440387 0.989308371412093 0.550302278716478 0.476690939118685 0.745610518720436 0.821587931156597 0.526381752099261 0.482083753057994 0.889467807964272 0.5357360282479 0.605805194121056 0.700064884062425 0.590177053115935 0.532346837498872 0.766740500937127 0.663650075414781 0.842569187892929 0.605900948366702 0.75302554908113 0.743626062322946 0.501809408926417 0.87246192893401 0.843881856540084 0.724790358602672 0.880468535041862 0.689117149915486 0.856398163087998 0.473298429319372 0.696080247730461 0.868558193398958 0.718974679587371 0.303559930089228 0.735907195939822 0.82398860045846 0.695026638180491
