"word" "word.freq" "doc.freq"
"633" "fünkchen" 5 4
"634" "johanniskäferl" 1 1
"635" "wo's" 9 9
"636" "würmer" 3 3
"637" "heiliges" 12 12
"638" "bedeuten" 39 37
"639" "hause" 819 655
"640" "bettelte" 3 3
"641" "bekommen" 107 103
"642" "befand" 98 95
"643" "entfernte" 49 47
"644" "verwandte" 26 25
"645" "besuch" 133 124
"646" "dralles" 1 1
"647" "weibsbild" 13 13
"648" "lustigkeit" 18 17
"649" "gesundheit" 38 36
"650" "bursche" 89 76
"651" "liebsten" 50 48
"652" "trotz" 301 275
"653" "achtzehn" 23 20
"654" "jahre" 393 324
"655" "kindisch" 14 14
"656" "nutze" 4 4
"657" "kälberte" 1 1
"658" "zweimal" 53 52
"659" "vetter" 181 112
"660" "nannte" 127 117
"661" "mess" 2 2
"662" "las" 149 123
"663" "wägen" 2 2
"664" "aufzutreiben" 4 4
"665" "kannten" 19 19
"666" "erlebt" 61 56
"667" "nahen" 62 61
"668" "kirchensprengel" 1 1
"669" "kranken" 60 53
"670" "aushülf" 1 1
"671" "zutheilte" 1 1
"672" "achten" 41 39
"673" "starb" 61 55
"674" "vermocht's" 1 1
"675" "anthun" 23 21
"676" "nachgefragt" 4 4
"677" "lumpen" 15 14
"678" "letfeigen" 1 1
"679" "kennen" 229 207
"680" "begräbniß" 21 18
"681" "le'pold" 1 1
"682" "zugegen" 13 13
"683" "dralle" 2 2
"684" "bäuerin" 78 38
"685" "dirnen" 22 19
"686" "seinzeit" 1 1
"687" "barfuß" 5 5
"688" "stoppeln" 2 2
"689" "drängten" 27 27
"690" "beileidshalber" 1 1
"691" "vorgeben" 3 3
"692" "entsinne" 6 6
"693" "wich" 55 52
"694" "scheu" 112 110
"695" "zuthunlich" 1 1
"696" "gehaben" 2 2
"697" "hatt" 23 22
"698" "milch" 34 26
"699" "ungesund" 4 4
"700" "farbe" 81 70
"701" "eingefallene" 1 1
"702" "wangen" 217 204
"703" "sturte" 1 1
"704" "erdboden" 14 14
"705" "fremden" 234 188
"706" "blick" 674 556
"707" "stand" 1385 1046
"708" "gefiel's" 2 2
"709" "leiche" 67 56
"710" "faßt" 24 21
"711" "dürft" 19 18
"712" "verzog" 24 23
"713" "gelacht" 14 13
"714" "nochmal" 7 7
"715" "hastig" 190 180
"716" "hinzu" 187 178
"717" "hinüberkommen" 4 4
"718" "hübsch" 142 123
"719" "behüt" 13 11
"720" "ruft" 63 48
"721" "fährt" 48 45
"722" "sonntags" 23 23
"723" "bered" 1 1
"724" "knecht" 91 64
"725" "heimbleibt" 1 1
"726" "hütet" 7 7
"727" "geh" 224 152
"728" "wald" 191 153
"729" "angestiegen" 1 1
"730" "viertelstund" 7 7
"731" "lauter" 129 123
"732" "weißbirken" 1 1
"733" "lustiges" 25 23
"734" "holz" 62 55
"735" "gedeihen" 12 12
"736" "boden" 325 294
"737" "locker" 2 2
"738" "stamm" 47 36
"739" "einschichtig" 1 1
"740" "empor" 216 186
"741" "brennt" 17 16
"742" "laub" 31 30
"743" "weiße" 157 126
"744" "rinde" 6 6
"745" "gebleichtes" 1 1
"746" "bein" 34 30
"747" "traf" 126 119
"748" "morgens" 87 82
"749" "strichregen" 2 2
"750" "niedergegangen" 3 3
"751" "stachen" 4 4
"752" "glühheiße" 1 1
"753" "sonnenstrahlen" 28 27
"754" "nieder" 367 322
"755" "farb" 20 10
"756" "schleier" 102 83
"757" "erd" 6 5
"758" "brodem" 2 2
"759" "schweiß" 27 27
"760" "halbem" 19 19
"761" "athem" 98 94
"762" "mühte" 7 7
"763" "gekostet" 21 21
"764" "berg" 81 70
