"DNS_Arnim" "DNS_Berthold" "DNS_Brentano" "DNS_Eichendorff" "DNS_Gall" "DNS_Goethe" "DNS_Grillparzer" "DNS_Grimm" "DNS_Hauff" "DNS_Hoffmann" "DNS_Immermann" "DNS_Keller" "DNS_Kinkel_Margret" "DNS_Kleist" "DNS_Kopisch_Karnevalsfest" "DNS_Kruse" "DNS_Lohmann" "DNS_Meissner" "DNS_Moerike" "DNS_Rumohr" "DNS_Stifter" "DNS_Tieck_Gemaelde" "DNS_Tieck_Lebens" "DNS_Widmann" "DNS_Wolf"
"sich" 1.19334772121366 1.23402555910543 0.664882834671207 1.13989637305699 0.819192510239906 0.880724710619024 0.745136828222882 1.15052732502397 0.734767025089606 1.00236846557266 0.905916116316863 1.31289338533421 0.895923547857249 1.28722674994287 1.00063532401525 1.0182435299109 0.877687919252711 1.02448250499107 1.056284895126 1.0062893081761 0.87422305321138 1.14499357401566 0.951581304226141 1.12634996355927 0.532247964934252
"nicht" 1.15526215564301 1.14217252396166 0.908132652233844 0.607944732297064 1.17027501462844 0.943633618520383 0.909990108803165 1.21820540296656 1.11111111111111 0.845880561664693 0.992358493828014 0.845657798200564 0.776467074809616 0.62457155914388 0.865628970775095 1.13609579031726 1.2663782834932 1.04024377429862 0.895327196821085 0.954831332189823 0.950022739906008 1.20341161350625 0.996361600895606 1.15285231564301 1.7219787100814
"es" 0.634759426177479 0.818690095846645 1.11084083353604 0.614853195164076 0.819192510239906 0.817815802717665 0.830860534124629 1.57351531216513 1.09318996415771 0.960074437489426 0.77798139760036 1.57933351353439 0.701806779154845 0.373219590220123 0.825921219822109 1.09366897657097 1.02187950598709 0.924661132709888 0.865147628388914 0.771869639794168 1.08140886351003 0.997001207306149 0.951581304226141 1.23235937189426 2.06637445209768
"mit" 1.06639583597816 0.73482428115016 0.964890942998459 0.994818652849741 0.965476887068461 0.981378963261198 0.830860534124629 0.721899498054255 0.949820788530466 1.13347995263069 0.860966080011065 0.93447117426729 1.10497237569061 1.13489222332242 1.143583227446 1.07481261490595 0.927841514638581 0.851108542607965 1.11664403199034 0.777587192681532 0.763050179392592 0.954161311679713 0.794850265883011 0.69568674219837 0.563556668753914
"ein" 0.749016122889425 0.934504792332268 0.851374361469229 1.18134715025907 0.760678759508485 0.729743331655762 0.949554896142433 1.0038914894817 1.02150537634409 0.706310268990019 0.701912105390547 0.976947136733985 0.918321636553681 0.571254474826719 0.93710292249047 0.636402206194315 0.902764716945646 1.08227382578544 0.990895830189628 0.754716981132076 0.914649552781848 0.681543794056938 0.884410859221942 0.940833498973034 0.814026299311209
"auf" 0.672844991748128 0.82667731629393 0.900024324981756 1.12607944732297 0.855763604447045 0.880724710619024 0.890207715133531 0.981332130167503 0.902031063321386 0.883945186939604 0.750319836796791 0.8495192493339 1.09750634612513 1.21105948663265 0.770330368487929 0.66468674869184 0.507805153281926 0.74077965745508 0.935566621397314 0.737564322469983 1.04098236393956 0.54912957121159 0.5989364679541 0.755317034386802 0.688791484032561
"dem" 1.14256696711946 0.670926517571885 0.867591015973405 1.11917098445596 0.943534230544178 0.691997986914947 0.824266402901418 0.558344143026338 0.704898446833931 0.981221451531044 0.836762214307942 0.675753948333784 1.08257428699418 1.2948434762739 0.635324015247776 0.938103992834583 0.551689549244561 0.872123568351371 0.729339570444143 0.686106346483705 1.0056091768154 0.619231218600304 0.431010355443605 1.09322202345458 0.626174076393237
"so" 0.647454614701028 0.650958466453674 0.697316143679559 0.683937823834197 0.716793446459918 0.918470055359839 0.672601384767557 0.992611809824601 0.830346475507766 0.64709862967349 0.650046678883856 1.0425918060007 0.48529192175601 0.335135958565009 0.921219822109276 0.905105359920803 0.614381543476898 0.572659451507828 0.744429354660228 0.5431675242996 0.778210116731518 1.25014604509873 1.25384830674503 0.920956734910223 0.907952410770194
"von" 0.520502729465533 0.523162939297125 0.57569123489824 0.683937823834197 0.599765944997074 0.805234021137393 0.633036597428289 0.693700298911511 0.573476702508961 0.845880561664693 0.826389129006604 0.629416534733753 0.671942660892937 0.929240612384797 1.05622617534943 0.839108094093245 0.683342737132468 0.693495849532416 0.975806045973543 0.76043453401944 0.83884986608722 0.755539977411691 0.632521690456199 0.596302921884317 0.563556668753914
"war" 0.571283483559731 0.646964856230032 0.61623287115868 0.635578583765112 0.724107665301346 0.880724710619024 0.969337289812067 1.16180700468107 0.609318996415771 0.477922517340552 0.643131288682964 0.733675715333822 0.634612513065552 0.62457155914388 0.659148665819568 0.593975392448027 0.639458341169833 0.982452453504256 0.528142447563 0.50314465408805 1.27848804891606 0.529656891381392 0.582143856703051 0.722189094282118 1.09580463368817
"daß" 0.812492065507173 0.471246006389776 0.518932944133625 0.338514680483592 0.54856641310708 0.905888273779567 0.573689416419387 0.59782302182618 0.519713261648746 0.938927423447809 0.66387745928564 0.455651233733637 0.447961773928625 0.830223170081499 0.476493011435832 0.711827652854382 0.432574760203122 0.640958285173899 0.377244605402143 0.577472841623785 0.83884986608722 0.720489153717335 0.789252728799328 0.602928509905254 0.688791484032561
"wie" 0.418941221277136 0.595047923322684 0.340549744587692 0.670120898100173 0.570509069631363 0.541016607951686 0.586877678865809 0.592183181997631 0.842293906810036 0.697851463373372 0.61201203277895 0.695061204000463 0.335971330446469 0.357986137558078 0.722681067344346 0.60811766369679 0.702150335402169 0.593674477251235 0.663950505507771 0.291595197255575 0.859063115872454 0.650387506328621 0.850825636719843 0.556549393758696 0.375704445835942
"als" 0.58397867208328 0.535143769968051 0.61623287115868 0.531951640759931 0.680222352252779 0.931051836940111 0.606660072535443 0.857255653939428 0.573476702508961 0.668245643715107 0.532485045468691 0.706645557400471 0.709272808720323 0.464620306192399 0.547966963151207 0.622259934945552 0.614381543476898 0.499106861405905 0.412454101906343 0.65180102915952 0.778210116731518 0.502395139619114 0.582143856703051 0.56980056980057 0.657482780212899
"an" 0.495112352418433 0.591054313099042 0.57569123489824 0.573402417962003 0.519309537741369 0.591343734272773 0.652818991097923 0.829056454796684 0.597371565113501 0.638639824056843 0.546315825870475 0.579217670000386 0.701806779154845 0.685505369792063 0.492376111817027 0.626974025361806 0.589304745783963 0.551644425764422 0.613651224787486 0.388793596340766 0.778210116731518 0.447871636094559 0.380632521690456 0.655933214072749 0.407013149655604
"aber" 0.60936904913038 0.73482428115016 0.57569123489824 0.801381692573402 0.760678759508485 0.591343734272773 1.04187273326739 0.721899498054255 0.675029868578256 0.338352224665877 0.376888765948619 0.714368459667143 0.657010601761983 0.152334526620459 0.59561626429479 0.570404940366756 0.551689549244561 0.478091835662499 0.2112569790252 0.0571755288736421 0.485117994845621 0.537445963313471 0.503778337531486 0.808321738554297 1.03318722604884
"ihr" 0.723625745842326 0.938498402555911 0.810832725208789 0.352331606217617 0.972791105909889 0.515853044791142 0.336300692383778 0.659861259940218 0.621266427718041 0.807815936389782 0.549773520970921 0.312777541800209 0.679408690458414 0.837839896412522 0.603557814485388 0.197991797482676 0.783649927904207 0.824839760428707 0.331975252753886 0.571755288736421 0.49017130729193 0.183043190403863 0.195913797928911 0.238521168753727 0
"ist" 0.279294147518091 0.555111821086262 0.754074434444174 0.241796200345423 0.585137507314219 0.465525918470055 0.408836135839103 0.445547346455361 0.573476702508961 0.490610725765522 0.553231216071367 0.390006564466927 0.223980886964312 0.243735242592734 0.460609911054638 0.490265403290435 0.645727540593066 0.704003362404119 0.437603742266486 0.371640937678674 0.358785183687907 0.790590801106048 0.834033025468794 0.82157291459617 0.657482780212899
"des" 0.634759426177479 0.251597444089457 0.381091380848131 0.290155440414508 0.570509069631363 0.276799194765979 0.573689416419387 0.253792792284699 0.412186379928315 0.676704449331754 0.421838802254417 0.312777541800209 0.686874720023891 0.639805011805926 0.420902160101652 0.598689482864281 0.420036361356655 0.551644425764422 0.432573814194457 0.823327615780446 0.485117994845621 0.44397710012852 0.358242373355724 0.271649108858411 0.125234815278647
"mir" 0.393550844230037 0.251597444089457 0.940565961242196 0.151986183074266 0.358396723229959 1.22043281328636 0.863831190240686 0.372229428684225 0.567502986857826 0.486381322957198 1.03039313993292 0.227825616866819 0.0447961773928625 0.190418158275573 0.309720457433291 0.443124499127893 0.426305560779888 0.304717873279395 0.342035108897943 0.314465408805031 0.515437869523473 0.479027923822877 0.514973411698852 0.225269992711853 1.03318722604884
