"word" "word.freq" "doc.freq"
"480" "getränk" 23 23
"481" "kreis'ten" 1 1
"482" "ecktisch" 1 1
"483" "zapfen" 5 5
"484" "kugelgläser" 1 1
"485" "kreislauf" 4 4
"486" "mühe" 227 213
"487" "flügel" 68 65
"488" "gesang" 58 49
"489" "rauschend" 31 29
"490" "gesundheiten" 4 4
"491" "lärmend" 26 26
"492" "musik" 143 110
"493" "wechseln" 93 90
"494" "brüderküsse" 2 2
"495" "schwur" 36 31
"496" "ewig" 224 199
"497" "freundschaft" 101 92
"498" "tisch" 541 411
"499" "schleudern" 41 40
"500" "bank" 116 99
"501" "fühlen" 777 641
"502" "drang" 34 33
"503" "empfinden" 221 197
"504" "feierlich" 129 119
"505" "gaudeamus" 1 1
"506" "verhallen" 20 20
"507" "durchstechen" 2 2
"508" "ungerströmen" 1 1
"509" "lockig" 8 8
"510" "haupt" 258 227
"511" "natur" 293 260
"512" "wuth" 113 104
"513" "mischen" 85 84
"514" "barock" 4 4
"515" "spiel" 218 190
"516" "ernst" 503 412
"517" "wehmüthigen" 7 7
"518" "abschiedsfestes" 1 1
"519" "präsides" 1 1
"520" "geschäft" 247 222
"521" "ordnung" 158 148
"522" "aufgeben" 82 79
"523" "thronen" 9 9
"524" "strom" 119 105
"525" "wein" 344 256
"526" "aufregung" 88 84
"527" "vorangehend" 1 1
"528" "auftritt" 64 61
"529" "unsicher" 45 44
"530" "zechlied" 1 1
"531" "fürst" 80 65
"532" "thoren" 25 24
"533" "saufen" 8 8
"534" "auserküren" 2 2
"535" "fürstlich" 22 21
"536" "bedienen" 49 47
"537" "thorn" 1 1
"538" "polenland" 1 1
"539" "bruder" 499 323
"540" "oginski" 2 1
"541" "vermuthlich" 33 32
"542" "narrenreich" 1 1
"543" "pfefferkuchen" 1 1
"544" "unterscheiden" 49 46
"545" "mißverständniß" 5 5
"546" "zünden" 43 43
"547" "blitzartig" 2 2
"548" "rex" 3 1
"549" "polonorum" 1 1
"550" "hallen" 17 15
"551" "saal" 131 108
"552" "überträufende" 1 1
"553" "begeisterung" 55 52
"554" "abreisende" 3 3
"555" "geschrieen" 9 9
"556" "trinken" 381 258
"557" "herrliche" 9 9
"558" "großmüthigen" 5 5
"559" "eigenschaft" 75 72
"560" "flammenstrahlen" 1 1
"561" "stern" 130 110
"562" "krone" 54 46
"563" "wahlreich" 1 1
"564" "gezückt" 3 2
"565" "säbel" 36 28
"566" "schwingend" 9 9
"567" "sitzende" 6 6
"568" "heben" 388 349
"569" "gefüllt" 16 15
"570" "glas" 249 182
"571" "patria" 2 2
"572" "landsleute" 39 36
"573" "schuft" 12 12
"574" "weigern" 26 26
"575" "noster" 2 1
"576" "jubel" 55 54
"577" "blank" 79 70
"578" "säbeln" 1 1
"579" "dröhnend" 13 13
"580" "ehrbar" 38 33
"581" "besprechen" 50 47
"582" "weinglühenden" 2 2
"583" "wirklichkeit" 49 45
"584" "parodirt" 1 1
"585" "verabredet" 7 7
"586" "absicht" 141 131
"587" "weinlaune" 3 3
"588" "eingegeben" 3 3
"589" "farce" 2 2
"590" "vermöge" 18 17
"591" "leidenschaftlichkeit" 15 14
"592" "sarmatische" 1 1
"593" "charakter" 115 111
"594" "rolle" 87 84
"595" "auffassen" 16 15
"596" "schleichen" 150 143
"597" "berauscht" 4 4
"598" "stimmung" 141 135
"599" "omen" 1 1
"600" "huldigen" 13 11
"601" "piasten" 1 1
"602" "erhitzt" 29 28
"603" "schreien" 488 366
"604" "erhebung" 20 20
"605" "balken" 34 30
"606" "wand" 210 187
"607" "draußen" 254 219
"608" "versammelte" 2 2
"609" "chaotisch" 3 3
"610" "lärm" 93 90
"611" "einzeln" 151 144
"612" "wahlkönig" 1 1
"613" "quidnam" 2 1
"614" "promittis" 1 1
"615" "dabis" 1 1
"616" "confoederatis" 1 1
"617" "brüllen" 23 18
"618" "bärtig" 6 6
"619" "angesicht" 61 54
"620" "gewaltig" 172 158
