"word" "word.freq" "doc.freq"
"338" "ungeachtet" 44 43
"339" "bringt's" 4 4
"340" "oekonomie" 10 7
"341" "verstehe" 136 120
"342" "markt" 103 88
"343" "bringt" 204 186
"344" "zug" 297 255
"345" "schallten" 12 12
"346" "ferne" 338 310
"347" "menge" 305 261
"348" "verlor" 150 139
"349" "folgten" 145 136
"350" "comitate" 1 1
"351" "vors" 42 40
"352" "thor" 168 146
"353" "nachhausegehen" 4 4
"354" "begleitete" 118 116
"355" "recht" 2567 1838
"356" "feil" 14 14
"357" "führt" 213 203
"358" "fortuna" 5 4
"359" "geschrieben" 247 215
"360" "licht" 575 493
"361" "leuchten" 50 46
"362" "leuten" 342 324
"363" "keller" 102 82
"364" "sarmate" 2 2
"365" "gedankenlaufe" 1 1
"366" "fortsetzung" 34 33
"367" "gesprächs" 33 33
"368" "kümmerte" 71 71
"369" "sammelt" 13 13
"370" "talenten" 6 6
"371" "geld" 796 544
"372" "muth" 380 342
"373" "land" 387 340
"374" "gestaltet" 20 20
"375" "handvoll" 14 14
"376" "deutsche" 138 122
"377" "zufall" 165 159
"378" "handelsgeist" 1 1
"379" "fanatismus" 4 4
"380" "vorväter" 2 2
"381" "küsten" 13 12
"382" "aussä'te" 1 1
"383" "gezwungen" 91 87
"384" "lettischen" 2 2
"385" "finnischen" 2 2
"386" "bevölkerung" 36 34
"387" "zusammenzuhalten" 6 6
"388" "werke" 88 83
"389" "gingen" 547 488
"390" "verdanken" 24 24
"391" "existenz" 53 51
"392" "wohlstand" 33 32
"393" "berufen" 42 41
"394" "genaue" 21 21
"395" "wirthschaften" 11 11
"396" "kräften" 76 76
"397" "schützen" 116 102
"398" "einzuwirken" 3 3
"399" "germanische" 3 3
"400" "einfluß" 94 92
"401" "erstreckt" 8 7
"402" "baltischen" 3 3
"403" "unermeßliche" 13 13
"404" "landstriche" 3 3
"405" "asien" 8 6
"406" "reiche" 181 172
"407" "blühen" 35 31
"408" "unmittelbar" 82 79
"409" "lande" 313 284
"410" "alten" 2084 1540
"411" "preußen" 37 32
"412" "kuren" 1 1
"413" "deutscher" 63 62
"414" "sitzt" 150 142
"415" "köpfe" 138 130
"416" "neuordnend" 1 1
"417" "schaffend" 4 4
"418" "regierend" 3 3
"419" "weiten" 184 173
"420" "abfliegen" 2 2
"421" "bewegung" 497 468
"422" "hand" 3841 2571
"423" "worte" 1269 1061
"424" "begleitend" 3 3
"425" "ersetzt" 13 13
"426" "glaubte" 617 554
"427" "herrschaft" 108 96
"428" "ende" 1071 958
"429" "tauchte" 69 68
"430" "nothwendiges" 2 2
"431" "unvermeidliches" 4 4
"432" "feld" 193 173
"433" "wild" 255 224
"434" "gährende" 2 2
"435" "kraft" 459 413
"436" "formen" 81 76
"437" "vaterlande" 34 33
"438" "kalt" 295 270
"439" "steif" 60 58
"440" "unbequem" 20 20
"441" "wirken" 63 60
"442" "schaffen" 193 184
"443" "schwert" 82 64
"444" "ingenium" 3 3
"445" "sitte" 129 123
"446" "sprache" 257 239
"447" "unermeßliches" 4 4
"448" "erobern" 28 27
"449" "fliegen" 87 83
"450" "gelehrten" 54 51
"451" "gedanken" 1130 968
"452" "soldat" 113 89
"453" "professor" 124 59
"454" "philosophie" 33 29
"455" "discurse" 4 4
"456" "welt" 1949 1475
"457" "geschehen" 634 563
"458" "muß" 2297 1615
"459" "luft" 581 517
"460" "angesteckt" 20 20
"461" "italiener" 25 20
"462" "röche" 2 2
"463" "philosophisch" 5 5
"464" "all" 578 487
"465" "sprünge" 22 20
"466" "blaue" 114 108
"467" "gewesener" 3 3
"468" "flotter" 1 1
"469" "miethsmann" 8 8
"470" "lustigen" 90 86
"471" "vortrefflicher" 12 12
"472" "wirthschafter" 2 2
"473" "russen" 22 19
"474" "finnländer" 1 1
"475" "ausgeben" 5 5
