"NSdA_About" "NSdA_Alarcon" "NSdA_Anonym_Jungfrau" "NSdA_Anynom_Urtheil" "NSdA_Balzac_Blutrache" "NSdA_Balzac_Capitaen" "NSdA_Barilli" "NSdA_Bernhard" "NSdA_Beyle_San_Francisco" "NSdA_Beyle_Vanina" "NSdA_Bjoernson" "NSdA_Blicher" "NSdA_Broughton" "NSdA_Caballero_Schweigen" "NSdA_Caballero_Servil" "NSdA_Cremer" "NSdA_Dickens" "NSdA_Etlar" "NSdA_Feuillet" "NSdA_Gobineau" "NSdA_Goldschmidt" "NSdA_Hahn" "NSdA_Harte_Glueck" "NSdA_Harte_Kunde" "NSdA_Irving" "NSdA_Jokai_Gattin" "NSdA_Jokai_Unterhaltung" "NSdA_Korzenowski" "NSdA_Mascheroni" "NSdA_Merimee_Colomba" "NSdA_Merimee_Lokis" "NSdA_Moreau" "NSdA_Musset" "NSdA_Nemec" "NSdA_Nerval" "NSdA_Nodier" "NSdA_Ongaro_Montenegrinerin" "NSdA_Ongaro_Tauben" "NSdA_Ouida" "NSdA_Pissemski" "NSdA_Poe" "NSdA_Puschkin_Pique" "NSdA_Puschkin_Schuss" "NSdA_Reybaud_Advocat" "NSdA_Reybaud_Fraeulein" "NSdA_Reybaud_Theobald" "NSdA_Sand" "NSdA_Thackeray" "NSdA_Tolstoy" "NSdA_Turgenjeff_Faust" "NSdA_Turgenjeff_Liebe" "NSdA_Ulbach_Aerzte" "NSdA_Ulbach_Unschuld" "NSdA_Viale" "NSdA_Vigny" "NSdA_Wetterbergh" "NSdA_Winther"
"nicht" 1.5745837107225 1.32347216815882 0.722074860005894 0.717617509867241 0.767222333801968 0.833941415615553 1.53186760854036 1.05451573991206 1.11111111111111 0.715483510340973 1.25578937552454 0.850708924103419 1.65680473372781 0.991586538461538 1.22374536682944 1.14034210263079 1.00553819498159 0.778354336545589 0.95775387037523 1.22397476340694 1.37735849056604 0.881466879904787 0.575475874280655 0.752837618716701 0.522259405739783 1.19736311045338 1.558906210069 1.06721748859626 1.16786665910766 0.933236163407425 0.802939575394665 0.716170373162458 1.30301068306895 1.23480005014416 0.806968105546305 0.897144301238312 1.42947046660074 0.981266726137377 0.64755838641189 1.5910532080475 1.06137896988646 0.840614976219445 1.08792184724689 0.786222388618495 0.798283961008987 0.911949685534591 1.63854836752033 0.987831351695844 1.56873665645595 1.44360496492175 1.29110001721467 1.10266296710028 1.02964471599909 0.657647500939496 1.23337830025053 1.09643378363208 0.842414406059201
"sich" 1.11474952971504 0.389256520046711 0.545240200412614 1.02858509747638 1.22112874071099 1.14666944647139 1.03182792285102 1.00782131600451 1.16959064327485 1.26327557294578 1.1780796369401 0.917431192660551 0.662721893491124 1.02163461538462 0.82955815732188 0.680204061218366 0.835370192753937 0.901902643933778 1.20265896964926 1.21135646687697 1.04716981132075 1.36497191951501 1.28375387339531 0.891823025249015 1.27269039651151 0.753397013318983 1.20112445693841 0.955331784146656 1.34928283916322 1.17413660472084 0.945835601524224 0.753863550697324 1.08449336354807 1.22853202958506 1.40899193031894 0.846600960323477 1.02490335341185 1.29906333630687 0.955414012738854 0.645644780077247 0.905051834786901 1.23880101758655 0.821492007104796 1.34246135743702 1.09424638192729 1.0377358490566 0.869846664239188 0.657226504152477 0.844704353476283 0.688073394495413 0.882251678430022 1.16031854707938 1.31251414347137 0.49793310785419 0.886490653305068 0.9168132320473 0.680114382873483
"mit" 0.627046610464711 0.778513040093422 0.928381962864722 0.992704221983016 1.0403695521189 0.854789951005942 0.873085165489325 0.957235690104673 1.03313840155945 0.961430967020682 0.882782630319232 1.11759799833194 0.899408284023669 0.811298076923077 1.05312702241572 0.880264079223767 0.977692521889793 1.18606375092661 1.25076532843523 0.89589905362776 0.858490566037736 1.18272771227731 0.907481186365649 0.914987259671068 1.00395497414055 1.1839095923584 0.996677740863787 0.929512006196747 0.799365043369806 1.00206486092554 0.877789874795863 0.79155672823219 0.955001618646811 1.08436755672559 0.678877930062764 0.82132928986606 1.00692259282568 0.914362176628011 1.12526539278132 0.91082031475183 0.715813723876913 0.962282933303838 1.17673179396092 1.0589934214045 1.1702734258329 1.0482180293501 0.881984059554153 0.908167533010695 0.915869921717875 0.822989746357259 1.08022034773627 0.926092753414291 1.05793165874632 0.958286358511838 0.828676045480825 1.07398121468398 1.39114305587758
"ein" 1.08688079147217 1.12884390813546 0.677866195107574 0.753498385360603 0.859610363526813 0.797456478682373 1.03182792285102 0.665395540682517 0.740740740740741 0.771380659586361 0.805072891734792 0.934111759799833 0.591715976331361 0.766225961538462 1.08254397834912 0.860258077423227 1.16951826985551 0.803063998023227 0.734715297822094 1.02208201892744 1.15094339622642 0.773608063376353 1.12881806108898 1.18137595552467 0.831558665449752 0.726489977129019 0.945566061845132 0.903692228246837 1.00345824593231 0.915016802299688 0.843767011431682 1.13079532604599 1.06830689543542 1.07183151560737 0.871013193288075 0.859236795552186 0.917018789894813 0.713648528099911 0.89171974522293 0.743644434196115 0.77340793154517 0.884857869704679 1.02131438721137 0.738086324009199 0.847158489234027 1.0482180293501 0.8536634704859 0.862360837266734 0.597171942201182 0.937668645439827 0.951110346014805 0.684660012251811 0.752432677076262 0.732807215332582 0.751589901715167 1.17501777495042 0.896514413787773
"es" 0.926635546575629 1.2066952121448 0.663129973474801 0.88506159550293 0.590480016067483 0.620243927864068 0.960393682038257 1.31522627339585 0.545808966861598 0.637227501397429 1.53554443442852 1.3511259382819 1.25443786982249 1.02163461538462 0.62952285697476 1.24037211163349 1.12310881470252 1.07487027427724 0.922767427621797 0.984227129337539 1.25471698113208 0.438873805184662 0.951748561310314 0.567523743340283 0.608457560085184 0.618861832369165 0.920010222335804 0.817626301747138 1.13385112534724 0.696384469006842 0.557974959172564 0.79155672823219 0.849789575914535 1.47925285194935 0.576405789675932 0.694970937578974 0.89903802930864 0.652319357716325 0.668789808917197 1.03187871101631 0.77340793154517 0.475611104966265 0.732682060390764 0.829010001604536 0.836297482961796 0.607966457023061 0.902213051745762 0.691083627093665 0.965376403972895 0.930922827846735 0.69719400929592 0.717091275990054 0.650599683186241 0.685832393836903 1.00211986895356 1.09269168880739 0.865600123657161
"von" 0.759423117118373 0.661736084079408 0.943118184497495 0.645855758880517 0.755171721229162 0.865214218701136 0.666719580919121 0.64593953072104 0.955165692007797 0.87199552822806 0.680737309999689 0.834028356964137 0.710059171597633 0.691105769230769 0.588339118668 1.42042612783835 0.696141827294948 0.728935013590314 1.22452549637016 0.908517350157729 0.867924528301887 0.929817383865809 1.08455068614431 1.20454018994672 1.01409593347531 0.65922238665411 0.408893432149246 0.757380153197349 0.895742389024321 0.702457589376088 0.986663037561241 0.904636260836788 1.23826481061832 0.68321424094271 0.973485333674907 1.03613848875411 0.818124606670862 0.830731489741302 0.976645435244161 0.547645125958379 1.09428994569689 0.763189912620285 0.821492007104796 0.919933679199872 1.23272421189823 0.870020964360587 0.58259497511834 0.862360837266734 0.510535598254896 0.762277388019428 0.589602341194698 0.792764224712623 1.12016293279022 1.24013528748591 0.616689150125265 0.62867193054672 0.826957260993894
"war" 0.640980979586149 1.59595173219151 0.766283524904215 0.574094007893793 0.610564370355493 0.516001250912123 0.452416858480832 1.12066617378108 0.916179337231969 0.804918949133594 0.686954089086444 0.767306088407006 0.863905325443787 0.961538461538462 0.58245572748132 0.240072021606482 0.819900374369605 1.0501606127996 0.690982244380303 0.744479495268139 0.811320754716981 0.699222672667088 1.08455068614431 0.752837618716701 0.963391136801541 0.484326651419346 0.690007666751853 0.69713400464756 0.697318442088554 0.400825944370217 0.496733805117039 1.24387485865058 0.574619617999353 0.789770590447537 0.832586140643013 0.442254233004802 0.77317270520543 0.652319357716325 0.976645435244161 0.536115754885571 1.15188415336515 0.95122220993253 0.99911190053286 0.652511098037118 0.692389149854734 0.775681341719078 0.509770603228547 0.687100436159407 1.04273028249636 0.816243928764166 0.89085901187812 0.663039169759648 0.554424077845666 0.49793310785419 0.693775293890923 0.763387344235303 0.618285802612258
"auf" 0.675816902389744 0.467107824056053 0.545240200412614 0.813299844516206 0.787306688089978 0.547274053997707 0.539725375029764 0.575897894859722 0.64327485380117 0.737842370039128 1.02887693885798 0.950792326939116 0.650887573964497 0.661057692307692 0.66482320409484 0.570171051315395 0.70232975464868 0.753644675067952 0.546663168022391 0.769716088328076 0.443396226415094 0.818239297801912 0.774679061531651 0.741255501505675 0.846770104451881 0.80721108569891 0.792231024789164 0.877872450296927 0.70298769771529 0.813798129478926 0.666848121937942 0.49001130795326 0.74457753318226 0.796038611006644 0.614832842320994 0.543340914834471 0.566393958464443 0.713648528099911 0.881104033970276 0.732115063123307 0.789863419450387 0.851675699590753 0.88809946714032 0.829010001604536 0.768416193760352 0.870020964360587 0.619007161063236 0.489932484913664 0.705467372134039 0.796006475984889 0.761749010156653 0.594573168534467 0.565738854944558 0.667042465238632 0.799768741568703 0.624929835722037 0.996985856712265
"daß" 1.02417613042569 0.583884780070066 0.633657530209254 0.657816050711637 0.506125728057843 0.630668195559262 0.706405270259544 0.793805206428266 0.448343079922027 0.603689211850196 0.708712815890087 0.266889074228524 0.816568047337278 0.676081730769231 0.48832146849444 1.16034810443133 0.723987500386745 0.642451198418582 0.594769526808362 0.89589905362776 1.00943396226415 0.557890430319485 0.531208499335989 0.405374102385916 0.608457560085184 0.861025158078838 0.511116790186558 0.611068078147861 0.805034298996542 0.769261913437791 0.74169842133914 0.376931775348662 0.606992554224668 0.607997994233421 0.563596772127578 0.82132928986606 0.458509394947406 0.618867082961641 0.562632696390658 0.783997232950942 1.06137896988646 0.741068465877668 0.954706927175844 0.37974006525111 0.456162263433707 0.50314465408805 0.991220617388842 0.856386050865348 1.15102571242922 0.742039935240151 0.766052676880702 0.598176642283161 0.554424077845666 0.864336715520481 0.713046829832338 0.73345058563784 0.602828657546951
"so" 0.696718456071901 0.895289996107435 0.707338638373121 0.669776342542758 0.58244627435228 0.651516730949651 0.825462338280816 0.653721934705631 0.64327485380117 0.715483510340973 1.11280345652917 0.467055879899917 0.662721893491124 0.796274038461538 0.9707595458022 0.680204061218366 1.24377339810031 0.667160859896219 0.577276305431645 0.668769716088328 0.518867924528302 0.416558187971882 0.509074811863656 0.451702571230021 0.593246121083054 0.497780169514328 0.48556095067723 0.550821929598072 0.6576336527014 0.59516579618608 0.449101796407186 0.980022615906521 0.833603107801878 0.664410179265388 0.563596772127578 0.593884255749305 0.701249662860739 0.50178412132025 0.59447983014862 1.03187871101631 0.485436893203884 0.36500387125318 0.399644760213144 0.513451355832486 0.562057074587961 0.59748427672956 1.08022818303192 0.687100436159407 0.67761997586559 0.485698866702644 0.537958340506111 0.767539908471767 0.735460511427925 0.591882750845547 0.664867989978801 1.27979643004154 0.904242986320427
